record_id,zone_id,zone_name,road,latitude,longitude,hour,vehicle_density,average_speed_kmh,queue_length_m,road_condition_score,accident_count,pedestrian_density,noise_db,signal_delay_sec,spillover_risk_percent,hotspot_composite_score,hotspot_risk_label,data_category
HOTSPOT-000001,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.926,77.6762,23,0.26,14.3,347.7,0.65,0,0.49,87.5,10.0,37.2,35.0,LOW,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000002,BLR-KORAM-09,Koramangala Sony World Jn,100 Feet Intermediate Ring Road,12.9352,77.6245,1,0.362,17.1,524.9,0.85,1,0.41,86.4,18.4,49.1,46.6,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000003,BLR-MARATH-05,Marathahalli Bridge,Outer Ring Road,12.9569,77.7011,6,0.331,19.2,626.6,0.61,0,0.43,88.5,18.2,40.1,37.0,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000004,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.9863,77.7314,1,0.4,18.5,759.6,0.66,0,0.25,81.7,26.8,40.2,39.4,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000005,BLR-KORAM-09,Koramangala Sony World Jn,100 Feet Intermediate Ring Road,12.9352,77.6245,17,0.99,5.6,1660.0,0.87,0,0.89,90.6,120.1,76.0,79.1,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000006,BLR-WFIELD-07,Whitefield ITPL Main Gate,ITPL Main Road,12.9863,77.7314,6,0.306,21.5,556.6,0.78,0,0.48,83.4,28.7,33.1,33.2,LOW,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000007,BLR-YESHW-12,Yeshwanthpur TTMC Circle,Tumkur Road / Subedarchatram Rd,13.0238,77.5529,21,0.99,7.9,1556.6,0.74,0,1.0,94.8,120.5,73.8,79.5,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000008,BLR-MARATH-05,Marathahalli Bridge,Outer Ring Road,12.9569,77.7011,21,0.99,6.2,1618.1,0.77,0,0.94,92.0,108.8,78.6,79.9,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000009,BLR-MARATH-05,Marathahalli Bridge,Outer Ring Road,12.9569,77.7011,17,0.99,4.0,1596.4,0.72,0,0.7,92.1,100.9,77.6,79.7,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000010,BLR-BELLAN-06,Bellandur EcoSpace,Outer Ring Road IT Corridor,12.926,77.6762,21,0.99,5.3,1621.6,0.73,0,0.76,96.3,101.5,76.5,79.3,CRITICAL,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000011,BLR-MGROAD-11,MG Road Brigade Jn,Mahatma Gandhi Road,12.9756,77.6066,6,0.297,21.7,498.0,0.87,1,0.33,89.0,10.0,40.1,40.4,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000012,BLR-HEBBL-04,Hebbal Flyover,Airport Road / Bellary Road,13.0358,77.597,12,0.78,11.4,1213.0,0.76,0,0.69,91.1,72.5,61.5,64.5,HIGH,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000013,BLR-KORAM-09,Koramangala Sony World Jn,100 Feet Intermediate Ring Road,12.9352,77.6245,4,0.42,18.0,737.4,0.72,0,0.56,85.6,37.2,35.4,42.2,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
HOTSPOT-000014,BLR-YESHW-12,Yeshwanthpur TTMC Circle,Tumkur Road / Subedarchatram Rd,13.0238,77.5529,5,0.373,18.2,587.8,0.73,0,0.45,87.6,26.2,32.9,38.0,MEDIUM,SYNTHETIC BENGALURU HOTSPOT
